,0
1962,881.93
1963,902.11
1964,976.95
1965,793.8
1966,690.19
1967,665.98
1968,393.79
1969,275.94
1970,189.53
1971,143.35
1972,214.96
1973,297.21
1974,482.0
1975,496.32
1976,509.79
1977,581.73
1978,675.59
1979,679.53
1980,557.66
1981,370.67
1982,486.3
1983,538.45
1984,703.79
1985,630.89
1986,558.17
1987,1053.87
1988,1123.34
1989,965.93
1990,655.24
1991,407.65
1992,461.53
1993,347.01
1994,155.45
1995,199.55
1996,309.45
1997,359.95
1998,489.33
1999,698.93
2000,576.68
2001,918.31
2002,657.29
2003,755.99
2004,647.55
2005,512.97
2006,412.77
2007,470.54
2008,612.58
2009,932.29
2010,1085.0
2011,1142.56
2012,1268.75
2013,912.87
2014,641.25
2015,614.76
2016,289.11
2017,274.31
2018,125.86
2019,184.81
2020,172.99
2021,305.77
2022,421.83
2023,489.48
2024,413.39
2025,522.85
2026,584.58
2027,554.1
2028,399.6
2029,450.58
2030,539.34
2031,443.13
2032,730.98
2033,745.83
2034,1028.85
2035,976.03
2036,937.17
2037,709.0
2038,741.79
2039,461.39
2040,465.52
2041,355.83
2042,244.22
2043,204.79
2044,227.32
2045,362.15
2046,519.56
2047,653.56
2048,764.11
2049,644.75
2050,690.93
2051,723.47
2052,599.58
2053,383.3
2054,461.86
2055,414.97
2056,660.17
2057,631.84
2058,990.49
2059,952.95
2060,969.4
2061,951.18
2062,657.41
2063,534.38
2064,329.86
2065,374.05
2066,196.64
2067,216.59
2068,257.31
2069,414.36
2070,436.13
2071,791.77
2072,928.18
2073,643.04
2074,870.31
2075,667.43
2076,723.52
2077,701.93
2078,443.43
2079,452.88
2080,717.27
2081,747.11
2082,952.39
2083,1268.79
2084,1216.15
2085,955.41
2086,872.79
2087,635.12
2088,420.97
2089,238.55
2090,192.99
2091,171.72
2092,296.55
2093,463.05
2094,355.27
2095,477.15
2096,636.44
2097,508.43
2098,719.72
2099,574.77
2100,384.91
2101,523.97
2102,488.05
2103,425.4
2104,283.65
2105,624.16
2106,921.21
2107,1085.31
2108,1168.62
2109,890.13
2110,454.37
2111,667.7
2112,404.62
2113,305.06
2114,234.31
2115,126.83
2116,211.67
2117,400.97
2118,504.01
2119,611.99
2120,892.15
